"id","market_name","city_or_town","municipality_or_region","street_address","latitude","longitude","market_type","days_of_week","schedule_text_en","schedule_text_fr","season_start","season_end","year_round","opening_time","closing_time","date_exceptions","products_summary_en","products_summary_fr","official_source_url","directions_url","source_type","schedule_year","last_checked","confidence","evidence_quote","notes_en","notes_fr"
"swon-024","Kiwanis Ingersoll Farmers' Market","Ingersoll","Town of Ingersoll, Oxford County","","","","farmers market","[""Saturday""]","Saturdays, 8 a.m. to 12 p.m., June to October.","Les samedis, de 8 h à 12 h, de juin à octobre.","06-01","10-31","False","08:00","12:00","","Local farm-fresh produce, baked goods, seasonal decorations, soaps, arts and crafts.","Produits frais de la ferme, produits de boulangerie, décorations saisonnières, savons, artisanat.","https://www.downtowningersoll.ca/","https://www.google.com/maps/search/?api=1&query=Kiwanis%20Ingersoll%20Farmers%27%20Market%2C%20Ingersoll%2C%20Ontario%2C%20Canada","other","","2026-08-28","Medium","Kiwanis Farmers Market June - October Saturdays 8am - 12pm ... Vendors sell local farm fresh produce, baked goods, seasonal decorations, soaps, arts and crafts.","FLAGGED - no street address or schedule year published by the Downtown Ingersoll BIA; the Town of Ingersoll events calendar confirms the market season opens but gives no schedule detail.","SIGNALÉ - la BIA du centre-ville d'Ingersoll ne publie ni adresse ni année d'horaire; le calendrier de la Ville d'Ingersoll confirme l'ouverture de la saison sans détails d'horaire."
"swon-025","Tillsonburg Farmers' Market","Tillsonburg","Town of Tillsonburg, Oxford County","Station Arts Centre, 41 Bridge Street","42.862148","-80.7319755","farmers market","[""Saturday""]","Saturdays, 8 a.m. to 12 p.m., May to November, at the Station Arts Centre.","Les samedis, de 8 h à 12 h, de mai à novembre, au Station Arts Centre.","05-01","11-30","False","08:00","12:00","","Fresh vegetables and fruits, baked goods, fresh herbs, jams, jellies and pies.","Légumes et fruits frais, produits de boulangerie, herbes fraîches, confitures, gelées et tartes.","https://www.discovertillsonburg.ca/en/dine-and-shop/farmers--markets-and-local-food.aspx","https://www.google.com/maps/search/?api=1&query=Tillsonburg%20Farmers%27%20Market%2C%20Station%20Arts%20Centre%2C%2041%20Bridge%20Street%2C%20Tillsonburg%2C%20Ontario%2C%20Canada","municipal","","2026-08-28","Medium","The Station Arts Centre hosts a weekly Farmers' Market on Saturdays (8 AM to 12 PM; May to November).","Street address from the Farmers' Markets Ontario listing, which gives 2026 season dates of May 11 to October 26, 2026 (https://farmersmarketsontario.com/markets/tillsonburg-farmers-market) - note May 11, 2026 is a Monday, so those FMO dates are internally inconsistent and the municipal May-November range is used here.","Adresse tirée de la fiche de Farmers' Markets Ontario, qui indique une saison du 11 mai au 26 octobre 2026; le 11 mai 2026 étant un lundi, ces dates sont incohérentes et la plage municipale de mai à novembre est retenue ici."
"swon-026","Stratford Farmers' Market","Stratford","City of Stratford, Perth County","Stratford Rotary Complex, 357 McCarthy Road","43.3860143","-80.983856","public market","[""Saturday""]","Open every Saturday year round, 7 a.m. to 12 p.m.; the year-round indoor market expands outdoors May through October.","Ouvert tous les samedis à l'année, de 7 h à 12 h; le marché intérieur s'étend à l'extérieur de mai à octobre.","","","True","07:00","12:00","","Farm-fresh vegetables, cheese, meats, baking, flowers, crafts and handmade gifts.","Légumes frais de la ferme, fromages, viandes, pâtisseries, fleurs, artisanat et cadeaux faits main.","https://www.stratfordagriculturalsociety.com/farmers-market/","https://www.google.com/maps/search/?api=1&query=Stratford%20Farmers%27%20Market%2C%20Stratford%20Rotary%20Complex%2C%20357%20McCarthy%20Road%2C%20Stratford%2C%20Ontario%2C%20Canada","official market","","2026-08-28","High","Open Every Saturday Year Round 7:00 a.m. to 12:00 p.m. ... Our year round indoor Market expands outdoors May through to October","Year-round indoor market run by the Stratford Agricultural Society. Address from the Farmers' Markets Ontario listing (https://farmersmarketsontario.com/markets/stratford-farmers-market).","Marché intérieur ouvert à l'année, géré par la Stratford Agricultural Society. Adresse tirée de la fiche de Farmers' Markets Ontario."
"swon-027","St. Marys Farmers' Market","St. Marys","Town of St. Marys, Perth County","Milt Dunnell Field, 1 Veteran's Circle","43.2488029","-81.1354649","farmers market","[""Saturday""]","Saturdays, 8 a.m. to 12 p.m., May 2 to October 31, 2026.","Les samedis, de 8 h à 12 h, du 2 mai au 31 octobre 2026.","2026-05-02","2026-10-31","False","08:00","12:00","","Fresh-picked produce with organic options, chicken, beef and lamb, breads and treats, honey, maple syrup, preserves, ceramics and home goods.","Produits fraîchement cueillis avec options biologiques, poulet, bœuf et agneau, pains et gâteries, miel, sirop d'érable, conserves, céramiques et articles pour la maison.","https://stmarysfarmersmarket.ca/","https://www.google.com/maps/search/?api=1&query=St.%20Marys%20Farmers%27%20Market%2C%20Milt%20Dunnell%20Field%2C%201%20Veteran%27s%20Circle%2C%20St.%20Marys%2C%20Ontario%2C%20Canada","official market","2026","2026-08-28","High","2026 season Saturdays May 2 - october 31 8 a.m. - 12 p.m. ... Milt Dunnell Field, St. Marys, Ontario N4X 1C8, Canada","Street reference 1 Veteran's Circle from the Farmers' Markets Ontario listing; the market's own site gives the venue name and postal code N4X 1C8.","La référence « 1 Veteran's Circle » provient de la fiche de Farmers' Markets Ontario; le site du marché donne le nom du site et le code postal N4X 1C8."
"swon-028","Downtown Goderich BIA Farmers' Market","Goderich","Town of Goderich, Huron County","Historic Courthouse Square","43.742928","-81.713018","farmers market","[""Saturday""]","Saturdays, 8 a.m. to 2 p.m., from the May long weekend to Thanksgiving, in the historic Courthouse Square.","Les samedis, de 8 h à 14 h, du long week-end de mai jusqu'à l'Action de grâce, sur la place historique du palais de justice.","May long weekend","Thanksgiving","False","08:00","14:00","","Local produce, meat, flowers and baked goods, plus artisan vendors and live buskers.","Produits locaux, viande, fleurs et produits de boulangerie, ainsi que des artisans et des musiciens de rue.","https://www.goderichbia.ca/bia-event/downtown-goderich-bia-farmers-market/2026-05-16/","https://www.google.com/maps/search/?api=1&query=Downtown%20Goderich%20BIA%20Farmers%27%20Market%2C%20Historic%20Courthouse%20Square%2C%20Goderich%2C%20Ontario%2C%20Canada","official market","2026","2026-08-28","High","The Goderich BIA Farmers' Market is a long-running, vibrant outdoor market located in the historic Courthouse Square of Goderich, Ontario, operating on Saturdays from the May long weekend to Thanksgiving 8am to 2pm.","Recurring season description; the source URL is the BIA's 2026 event instance dated May 16, 2026. Huron County tourism lists closing time as 1 p.m. (https://www.ontarioswestcoast.ca/farmers-markets/) and the Farmers' Markets Ontario listing still shows a 2025 season (May 17 - October 11, 2025).","Description récurrente de la saison; l'URL source est l'instance d'événement 2026 de la BIA (16 mai 2026). Le tourisme du comté de Huron indique une fermeture à 13 h et la fiche de Farmers' Markets Ontario affiche encore la saison 2025."
"swon-029","Bayfield Farmers' Market","Bayfield","Municipality of Bluewater, Huron County","Clan Gregor Square","43.5625268","-81.6976571","farmers market","[""Friday""]","Weekly, May to October: Fridays, 2 p.m. to 6 p.m., in Clan Gregor Square.","Chaque semaine, de mai à octobre : les vendredis, de 14 h à 18 h, à Clan Gregor Square.","05-01","10-31","False","14:00","18:00","","Fresh produce, baked goods, prepared food and other goods direct from farmers and producers.","Produits frais, produits de boulangerie, plats préparés et autres denrées directement des agriculteurs et producteurs.","https://www.ontarioswestcoast.ca/farmers-markets/","https://www.google.com/maps/search/?api=1&query=Bayfield%20Farmers%27%20Market%2C%20Clan%20Gregor%20Square%2C%20Bayfield%2C%20Ontario%2C%20Canada","other","","2026-08-28","Medium","BAYFIELD FARMERS' MARKET Clan Gregor Square, Bayfield Weekly: May to October: Fridays, 2:00 pm to 6:00 pm","Source is Ontario's West Coast (Huron County tourism). The market's own domain did not resolve during this session. The Farmers' Markets Ontario listing describes a year-round hybrid model: live/online Friday afternoon markets May-October and biweekly Friday pickup for online orders October-May (https://farmersmarketsontario.com/markets/bayfield-farmers-market).","La source est Ontario's West Coast (tourisme du comté de Huron). Le domaine du marché n'a pas pu être résolu. La fiche de Farmers' Markets Ontario décrit un modèle hybride à l'année : marchés en personne et en ligne le vendredi après-midi de mai à octobre, puis cueillette bimensuelle des commandes en ligne d'octobre à mai."
"swon-030","Brussels Farmers' Market","Brussels","Municipality of Huron East, Huron County","Brussels Four Winds Wedding and Event Barn, 60 Orchard Lane","","","farmers market","[""Friday""]","Every Friday, 2 p.m. to 6 p.m., mid-May through mid-October.","Tous les vendredis, de 14 h à 18 h, de la mi-mai à la mi-octobre.","mid-May","mid-October","False","14:00","18:00","","Fresh produce, baked goods, prepared food and other goods direct from farmers and producers.","Produits frais, produits de boulangerie, plats préparés et autres denrées directement des agriculteurs et producteurs.","https://www.huroneast.com/en/being-active/resources/currentguide_full_reduced.pdf","https://www.google.com/maps/search/?api=1&query=Brussels%20Farmers%27%20Market%2C%20Brussels%20Four%20Winds%20Wedding%20and%20Event%20Barn%2C%2060%20Orchard%20Lane%2C%20Brussels%2C%20Ontario%2C%20Canada","municipal","","2026-08-28","Medium","Brussels Farmers' Market at Brussels Four Winds Wedding and Event Barn (60 Orchard Lane) Every Friday 2:00 pm -6:00 pm Mid-May through Mid-October.","FLAGGED - conflicting details. Huron County tourism lists ""Brussels Market, Richmond Square, 589 Turnberry Street, Brussels: Every other Friday from June 5th to August 28th: 2:00 pm to 6:00 pm"" (https://www.ontarioswestcoast.ca/farmers-markets/), i.e. a different venue and a bi-weekly, shorter season. Neither source states a year.","SIGNALÉ - détails contradictoires. Le tourisme du comté de Huron indique un autre lieu (Richmond Square, 589, rue Turnberry) et un marché bimensuel du 5 juin au 28 août. Aucune des deux sources ne précise l'année."
"swon-031","Seaforth Farmers' Market","Seaforth","Municipality of Huron East, Huron County","Main Street Seaforth, next to CIBC","","","farmers market","[""Thursday""]","Every Thursday, 8:30 a.m. to 4 p.m., mid-May through early November.","Tous les jeudis, de 8 h 30 à 16 h, de la mi-mai au début de novembre.","mid-May","early November","False","08:30","16:00","","n.a. - products not itemised in the source.","n.a. - les produits ne sont pas énumérés dans la source.","https://www.huroneast.com/en/being-active/resources/currentguide_full_reduced.pdf","https://www.google.com/maps/search/?api=1&query=Seaforth%20Farmers%27%20Market%2C%20Main%20Street%20Seaforth%2C%20next%20to%20CIBC%2C%20Seaforth%2C%20Ontario%2C%20Canada","municipal","","2026-08-28","Medium","Seaforth's Farmers' Market, Main Street Seaforth, Next to CIBC Every Thursday, 8:30 am -4:00 pm. Mid-May through early November.","FLAGGED - no schedule year in the municipal recreation guide. A separate Seaforth Community Market at the Seaforth Community Centre (Thursdays 3-7 p.m.) is reported by local media and may be the same or a companion market; not confirmed by an official page.","SIGNALÉ - aucune année d'horaire dans le guide municipal des loisirs. Un « Seaforth Community Market » distinct au centre communautaire (jeudis de 15 h à 19 h) est rapporté par les médias locaux; non confirmé par une page officielle."
"swon-032","Exeter Farmers' Market","Exeter","Municipality of South Huron, Huron County","MacNaughton Park","","","farmers market","[""Thursday""]","Thursday afternoons, 3 p.m. to 7 p.m.; the season opens May 24 and runs to October 4 (year not stated).","Les jeudis après-midi, de 15 h à 19 h; la saison débute le 24 mai et se termine le 4 octobre (l'année n'est pas précisée).","05-24","10-04","False","15:00","19:00","","Local produce, baked goods, meat, eggs, preserves and plants.","Produits locaux, produits de boulangerie, viande, œufs, conserves et plantes.","https://www.ruralvoice.ca/exeter-farmers-market","https://www.google.com/maps/search/?api=1&query=Exeter%20Farmers%27%20Market%2C%20MacNaughton%20Park%2C%20Exeter%2C%20Ontario%2C%20Canada","other","","2026-08-28","Medium","In recent years the market has moved to the delightful horticultural gem of MacNaughton Park in the northern part of the town. ... The market is held Thursday afternoons from 3 to 7 p.m. ... The market opens May 24 this year and goes until October 4.","FLAGGED - source is The Rural Voice magazine, not an official market or municipal page, and no year is given (neither May 24 nor October 4 falls on a Thursday in 2025 or 2026). Market is operated by The Cultural Collective; no official market website located.","SIGNALÉ - la source est le magazine The Rural Voice et non une page officielle ou municipale, et aucune année n'est indiquée. Le marché est exploité par The Cultural Collective; aucun site officiel trouvé."
"swon-033","St. Jacobs Farmers' Market","Waterloo (St. Jacobs)","Township of Woolwich, Region of Waterloo","878 Weber Street North","","","public market","[""Tuesday"", ""Thursday"", ""Saturday""]","Open year round every Thursday 8 a.m. to 3 p.m. and Saturday 7 a.m. to 3:30 p.m., plus Tuesdays 8 a.m. to 3 p.m. through the summer (June 16 to September 1, 2026).","Ouvert à l'année tous les jeudis de 8 h à 15 h et les samedis de 7 h à 15 h 30, ainsi que les mardis de 8 h à 15 h durant l'été (du 16 juin au 1er septembre 2026).","","","True","07:00","15:30","Outdoor market begins Thursday March 26, 2026; Tuesday market runs June 16 to September 1, 2026; extended outdoor season to Thursday October 29, 2026.","Ontario-grown produce, Mennonite baked goods, locally raised meats, artisan cheese, maple syrup, fresh-cut flowers, quilts, crafts and antiques from 300-plus vendors.","Produits cultivés en Ontario, pâtisseries mennonites, viandes d'élevage local, fromages artisanaux, sirop d'érable, fleurs coupées, courtepointes, artisanat et antiquités auprès de plus de 300 marchands.","https://www.stjacobsmarket.com/farmersmarket","https://www.google.com/maps/search/?api=1&query=St.%20Jacobs%20Farmers%27%20Market%2C%20878%20Weber%20Street%20North%2C%20Waterloo%20%28St.%20Jacobs%29%2C%20Ontario%2C%20Canada","official market","2026","2026-08-28","High","Open every Thursday and Saturday, plus Tuesdays through the summer, the market has welcomed visitors since April 1975. ... Thursday: 8am - 3pm Saturday: 7am - 3:30pm Tuesday: 8am - 3pm ... The market is located at 878 Weber Street North, Woolwich (St. Jacobs), Ontario.","Canada's largest year-round farmers' market; open in January and February as well as peak summer. Mailing address is in Woolwich Township with a Waterloo postal designation.","Le plus grand marché fermier ouvert à l'année au Canada; ouvert en janvier et février comme en plein été. L'adresse postale se trouve dans le canton de Woolwich avec une désignation postale de Waterloo."
"swon-034","Kitchener Market","Kitchener","City of Kitchener, Region of Waterloo","300 King Street East","43.4480255","-80.4836633","public market","[""Saturday""]","Saturday Farmers' Market, 7 a.m. to 2 p.m., year-round; the Food Hall is open Tuesday to Friday 8 a.m. to 3 p.m. and Saturday 7 a.m. to 2 p.m., closed Sunday and Monday.","Marché fermier du samedi, de 7 h à 14 h, à l'année; l'aire de restauration est ouverte du mardi au vendredi de 8 h à 15 h et le samedi de 7 h à 14 h, fermée les dimanches et lundis.","","","True","07:00","14:00","A fire at the Kitchener Market on July 12, 2026 significantly affected vendors and operations; the City states recovery efforts are underway to restore market operations. Verify status before visiting.","Fresh and local produce, meat, dairy products and more from local vendors and artisans; Food Hall breakfast and lunch from cuisines around the world.","Produits frais et locaux, viande, produits laitiers et plus encore auprès de marchands et artisans locaux; petits-déjeuners et repas du midi de cuisines du monde à l'aire de restauration.","https://www.kitchenermarket.ca/about-the-market/","https://www.google.com/maps/search/?api=1&query=Kitchener%20Market%2C%20300%20King%20Street%20East%2C%20Kitchener%2C%20Ontario%2C%20Canada","municipal","","2026-08-28","Medium","Our Farmers' Market runs every Saturday, featuring unique local vendors and artisans. ... Saturday : 7 a.m. - 2 p.m., year-round ... Our address is 300 King St. E., Kitchener, ON.","FLAGGED - operational disruption. The market homepage states: ""The July 12, 2026 fire at the Kitchener Market has had a significant impact on vendors, businesses and the broader market community. While recovery efforts are underway, the City is focused on supporting vendors and restoring market operations as quickly and safely as possible."" (https://www.kitchenermarket.ca/) Published hours may not reflect current operations.","SIGNALÉ - perturbation des opérations. La page d'accueil du marché mentionne l'incendie du 12 juillet 2026 et indique que la Ville s'emploie à rétablir les activités. Les heures publiées pourraient ne pas refléter les opérations actuelles."
"swon-035","Cambridge Farmers' Market","Cambridge","City of Cambridge, Region of Waterloo","40 Dickson Street (beside City Hall)","43.3601721","-80.3133965","public market","[""Saturday""]","Saturdays, 7 a.m. to 1 p.m., year-round.","Les samedis, de 7 h à 13 h, à l'année.","","","True","07:00","13:00","The parking lot of the Farmers' Market building is closed to accommodate outside market vendors; tours are unavailable during outdoor restoration work.","Farm-fresh food, local produce, handmade goods and prepared bites.","Aliments frais de la ferme, produits locaux, articles faits main et bouchées préparées.","https://www.cambridge.ca/recreation-culture/farmers-market/visit-the-market/about-the-farmers-market/","https://www.google.com/maps/search/?api=1&query=Cambridge%20Farmers%27%20Market%2C%2040%20Dickson%20Street%20%28beside%20City%20Hall%29%2C%20Cambridge%2C%20Ontario%2C%20Canada","municipal","","2026-08-28","High","Saturdays: 7 a.m. - 1 p.m. (year-round) ... The Farmers' Market is located at 40 Dickson Street, beside Cambridge City Hall in what is known as the Galt area of Cambridge.","One of Canada's oldest markets, in operation since the 1830s; year-round indoor market with outdoor vendors in warmer months.","L'un des plus anciens marchés du Canada, en activité depuis les années 1830; marché intérieur ouvert à l'année avec marchands extérieurs en saison chaude."
"swon-036","Hespeler Village Market","Cambridge (Hespeler)","City of Cambridge, Region of Waterloo","Downtown Hespeler Village, in front of Old City Hall (11 Tannery Street East)","43.4312421","-80.3095066","farmers market","[""Friday""]","Every Friday evening, 3 p.m. to 7 p.m., from June 5 until October 2.","Tous les vendredis soirs, de 15 h à 19 h, du 5 juin au 2 octobre.","06-05","10-02","False","15:00","19:00","","Local and seasonal produce plus artisan vendors.","Produits locaux et de saison ainsi que des marchands artisans.","http://www.hespelervillagemarket.com/","https://www.google.com/maps/search/?api=1&query=Hespeler%20Village%20Market%2C%20Downtown%20Hespeler%20Village%2C%20in%20front%20of%20Old%20City%20Hall%20%2811%20Tannery%20Street%20East%29%2C%20Cambridge%20%28Hespeler%29%2C%20Ontario%2C%20Canada","official market","2026","2026-08-28","Medium","LOCATED DOWNTOWN HESPELER VILLAGE We are situated right in front of Old City Hall and the Cenotaph Every Friday evening from June 5th until October 2nd from 3:00pm to 7:00pm","June 5 and October 2 are Fridays in 2026, and the Hespeler Village BIA advertises ""Every Friday, June 5 - October 2"" for 2026 (https://www.hespelervillagebia.ca/event-details/hespeler-village-market-2026-08-21-15-00), so the schedule is treated as 2026. The Farmers' Markets Ontario listing instead shows May 31 - November 1, 2026.","Le 5 juin et le 2 octobre tombent un vendredi en 2026 et la BIA du village de Hespeler annonce « Every Friday, June 5 - October 2 » pour 2026; l'horaire est donc considéré comme celui de 2026. La fiche de Farmers' Markets Ontario indique plutôt du 31 mai au 1er novembre 2026."
"swon-037","Preston Towne Market","Cambridge (Preston)","City of Cambridge, Region of Waterloo","Central Park, King Street East and Argyle Street","","","farmers market","[""Wednesday""]","Wednesdays, 9 a.m. to 2 p.m., July 1 to August 26, 2026, in Central Park, Preston.","Les mercredis, de 9 h à 14 h, du 1er juillet au 26 août 2026, au parc Central, à Preston.","2026-07-01","2026-08-26","False","09:00","14:00","","Local produce, artisan goods, prepared food and crafter goods from Ontario producers.","Produits locaux, articles artisanaux, plats préparés et créations d'artisans de producteurs ontariens.","https://www.prestontownemarket.ca/","https://www.google.com/maps/search/?api=1&query=Preston%20Towne%20Market%2C%20Central%20Park%2C%20King%20Street%20East%20and%20Argyle%20Street%2C%20Cambridge%20%28Preston%29%2C%20Ontario%2C%20Canada","official market","2026","2026-08-28","High","Wednesdays from 9 AM - 2 PM July 1st - August 26, 2026 Central Park, Preston ... We are a thriving open-air farmers market located in Central Park at King St. E. and Argyle St. in the heart of Preston, Ontario","Explore Waterloo published a different range (June 3 - August 26) for this market; the market's own 2026 dates are used.","Explore Waterloo a publié une plage différente (du 3 juin au 26 août); les dates 2026 du marché lui-même sont retenues."
"swon-038","Elmira Farmers Market","Elmira","Township of Woolwich, Region of Waterloo","Parking lot of the Mercantile at the Crossroads, 384 Arthur Street South","43.6016148","-80.5706745","farmers market","[""Saturday""]","Saturdays, 8 a.m. to 1:30 p.m., May to October.","Les samedis, de 8 h à 13 h 30, de mai à octobre.","05-01","10-31","False","08:00","13:30","","Fresh produce, vegetables and fruit, baked goods (breads, pies, butter tarts, long johns), jams, relishes, maple syrup, fresh-cut flowers, mums, handmade mats and greeting cards.","Produits frais, légumes et fruits, produits de boulangerie (pains, tartes, tartelettes au beurre, éclairs), confitures, relishs, sirop d'érable, fleurs coupées, chrysanthèmes, tapis faits main et cartes de souhaits.","https://www.elmirafarmersmarket.com/","https://www.google.com/maps/search/?api=1&query=Elmira%20Farmers%20Market%2C%20Parking%20lot%20of%20the%20Mercantile%20at%20the%20Crossroads%2C%20384%20Arthur%20Street%20South%2C%20Elmira%2C%20Ontario%2C%20Canada","official market","","2026-08-28","Medium","The market will be located in the parking lot of the Mercantile at the Crossroads. (384 Arthur St S, Elmira, ON) ... There is a great line-up of vendors that will be set up at the Elmira Farmers Market each Saturday of the season.","FLAGGED - the market's own site is out of date (it announces a return on May 3, 2025 and publishes no hours). Days/hours/season from Explore Waterloo: ""Elmira Farmers' Market is open Saturdays from 8 am - 1:30 pm May - October at 122 Church Street West, Elmira"" (https://explorewaterloo.ca/2026/05/farmers-markets-in-waterloo-region-2/); the Farmers' Markets Ontario listing also gives 122 Church Street West and a May 2 - October 31, 2026 season. Address conflict unresolved.","SIGNALÉ - le site du marché n'est pas à jour (annonce un retour le 3 mai 2025, sans heures). Jours, heures et saison provenant d'Explore Waterloo, qui indique le 122, rue Church Ouest; la fiche de Farmers' Markets Ontario donne la même adresse et une saison du 2 mai au 31 octobre 2026. Conflit d'adresse non résolu."
"swon-039","Ayr Farmers' Market","Ayr","Township of North Dumfries, Region of Waterloo","7 Church Street","","","farmers market","[""Saturday""]","Weekly outdoor market on Saturday mornings from May to October.","Marché extérieur hebdomadaire les samedis matin, de mai à octobre.","05-01","10-31","False","","","","n.a. - products not itemised on the source page.","n.a. - les produits ne sont pas énumérés sur la page source.","https://www.northdumfries.ca/en/play-explore/farmers-markets-and-stores.aspx","https://www.google.com/maps/search/?api=1&query=Ayr%20Farmers%27%20Market%2C%207%20Church%20Street%2C%20Ayr%2C%20Ontario%2C%20Canada","municipal","","2026-08-28","Medium","There is a weekly outdoor Farmers Market in Ayr at 7 Church Street on Saturday mornings from May to October.","Clock times are not published by the Township. Explore Waterloo states ""every Saturday from May until October 5 from 8 am - 1 pm in front of the Ayr Community Centre"" (https://explorewaterloo.ca/2026/05/farmers-markets-in-waterloo-region-2/).","Le canton ne publie pas d'heures précises. Explore Waterloo indique « every Saturday from May until October 5 from 8 am - 1 pm in front of the Ayr Community Centre »."
"swon-040","Uptown Waterloo Night Market","Waterloo","City of Waterloo, Region of Waterloo","Waterloo Public Library (Main Branch), lower parking lot","","","seasonal community market","[""Thursday""]","Thursday evenings, 7 p.m. to 10 p.m., through July and August.","Les jeudis soirs, de 19 h à 22 h, en juillet et en août.","07-01","08-31","False","19:00","22:00","","n.a. - products not itemised on the source page.","n.a. - les produits ne sont pas énumérés sur la page source.","https://explorewaterloo.ca/2026/05/farmers-markets-in-waterloo-region-2/","https://www.google.com/maps/search/?api=1&query=Uptown%20Waterloo%20Night%20Market%2C%20Waterloo%20Public%20Library%20%28Main%20Branch%29%2C%20lower%20parking%20lot%2C%20Waterloo%2C%20Ontario%2C%20Canada","other","","2026-08-28","Medium","The Uptown Waterloo Night Market happens Thursday evenings from 7 - 10 pm at the Waterloo Public Library (Main Branch), in the lower parking lot, through July and August.","FLAGGED - regional tourism source (Explore Waterloo), no official market page located and no schedule year stated. Evening community market rather than a produce-led farmers' market.","SIGNALÉ - source touristique régionale (Explore Waterloo), aucune page officielle trouvée et aucune année d'horaire indiquée. Marché communautaire du soir plutôt que marché fermier axé sur les produits maraîchers."
"swon-041","Guelph Farmers' Market","Guelph","City of Guelph, Wellington County","2 Gordon Street","43.5424072","-80.2483422","public market","[""Saturday""]","Saturdays, 8 a.m. to 1 p.m., year round.","Les samedis, de 8 h à 13 h, à l'année.","","","True","08:00","13:00","","Fresh local food and artisanal products from more than 100 vendors.","Aliments locaux frais et produits artisanaux de plus de 100 marchands.","https://10carden.ca/projects/market/","https://www.google.com/maps/search/?api=1&query=Guelph%20Farmers%27%20Market%2C%202%20Gordon%20Street%2C%20Guelph%2C%20Ontario%2C%20Canada","official market","","2026-08-28","High","Saturday Farmers' Markets - year-round: 8:00am to 1:00pm ... The Guelph Farmers' Market is located at 2 Gordon Street in downtown Guelph.","Operated by 10C (10 Carden). Wellington County also publishes ""Open Year Round on Saturdays | 8:00 am - 1:00 pm ... 2 Gordon Street, Guelph"" (https://www.wellington.ca/experience-wellington/farm-food-experiences/farmers-markets).","Géré par 10C (10 Carden). Le comté de Wellington publie également « Open Year Round on Saturdays | 8:00 am - 1:00 pm ... 2 Gordon Street, Guelph »."
"swon-042","Elora Farmers' Market","Elora","Township of Centre Wellington, Wellington County","Bissell Park, 127 East Mill Street","43.6834082","-80.4246544","farmers market","[""Saturday""]","Saturdays, 9 a.m. to 1 p.m. Summer market May 2 to October 10, 2026 at Bissell Park, 127 East Mill Street; winter market October 17 to December 19, 2026 at the Jefferson Elora Community Centre, 29 David Street West.","Les samedis, de 9 h à 13 h. Marché d'été du 2 mai au 10 octobre 2026 au parc Bissell, 127, rue East Mill; marché d'hiver du 17 octobre au 19 décembre 2026 au Jefferson Elora Community Centre, 29, rue David Ouest.","2026-05-02","2026-12-19","False","09:00","13:00","Two venues in one season: Bissell Park to October 10, 2026, then the Jefferson Elora Community Centre from October 17, 2026.","Fresh food, local snacks and handmade crafts from farmers, makers and bakers.","Aliments frais, collations locales et artisanat de fermiers, artisans et boulangers.","https://www.elorafarmersmarket.ca/","https://www.google.com/maps/search/?api=1&query=Elora%20Farmers%27%20Market%2C%20Bissell%20Park%2C%20127%20East%20Mill%20Street%2C%20Elora%2C%20Ontario%2C%20Canada","official market","2026","2026-08-28","High","Every Saturday, 9 am - 1 pm ... May 2nd - October 10th at Bissell Park, Elora ... Bissell Park, 127 E Mill St, Elora, ON ... Jefferson Elora Community Centre Saturday's in October until December 9:00AM - 1:00PM","Winter market dates October 17 - December 19, 2026 confirmed by Wellington County (https://www.wellington.ca/experience-wellington/farm-food-experiences/farmers-markets).","Les dates du marché d'hiver (17 octobre au 19 décembre 2026) sont confirmées par le comté de Wellington."
"swon-043","Erin Farmers' Market","Erin","Town of Erin, Wellington County","Agri-dome at the Erin Fairgrounds, 184 Main Street","43.7728041","-80.0679075","farmers market","[""Thursday""]","Thursdays, 3 p.m. to 6:30 p.m., June 18 to September 24, 2026.","Les jeudis, de 15 h à 18 h 30, du 18 juin au 24 septembre 2026.","2026-06-18","2026-09-24","False","15:00","18:30","","Fresh fruits and vegetables, heritage meats, farmstead cheeses, artisan breads, jams, pickles, cut flowers, wine, beer, maple syrup and artisan goods.","Fruits et légumes frais, viandes patrimoniales, fromages fermiers, pains artisanaux, confitures, marinades, fleurs coupées, vin, bière, sirop d'érable et produits artisanaux.","https://www.wellington.ca/experience-wellington/farm-food-experiences/farmers-markets","https://www.google.com/maps/search/?api=1&query=Erin%20Farmers%27%20Market%2C%20Agri-dome%20at%20the%20Erin%20Fairgrounds%2C%20184%20Main%20Street%2C%20Erin%2C%20Ontario%2C%20Canada","municipal","2026","2026-08-28","High","Open June 18 - September 24, 2026 Thursdays | 3:00 - 6:30 pm ... Agri-dome at the Erin Fairgrounds 184 Main Street, Erin","The market's own site confirms Thursdays June to September and the product range but publishes no address or hours (https://www.erinfarmersmarket.ca).","Le site du marché confirme les jeudis de juin à septembre et la gamme de produits, mais ne publie ni adresse ni heures."
