hs_code,heading,description,full_description,tariff_rate_pct,sector,import_value_cad,value_year,value_scope,source_url
4820.30.00,"Registers, account books, note books, order books, receipt books, letter pads, memorandum pads, diaries and similar articles, exercise books, blotting-pads, binders (loose-leaf or other), folders, file covers, manifold business forms, interleaved carbon sets and other articles of stationery, of paper or paperboard; albums for samples or for collections and book covers, of paper or paperboard.","- Binders (other than book covers), folders and file covers","Registers, account books, note books, order books, receipt books, letter pads, memorandum pads, diaries and similar articles, exercise books, blotting-pads, binders (loose-leaf or other), folders, file covers, manifold business forms, interleaved carbon sets and other articles of stationery, of paper or paperboard; albums for samples or for collections and book covers, of paper or paperboard. - Binders (other than book covers), folders and file covers",50,"Wood, pulp & paper",,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
4823.69.00,"Other paper, paperboard, cellulose wadding and webs of cellulose fibres, cut to size or shape; other articles of paper pulp, paper, paperboard, cellulose wadding or webs of cellulose fibres.","- Trays, dishes, plates, cups and the like, of paper or paperboard: Other","Other paper, paperboard, cellulose wadding and webs of cellulose fibres, cut to size or shape; other articles of paper pulp, paper, paperboard, cellulose wadding or webs of cellulose fibres. - Trays, dishes, plates, cups and the like, of paper or paperboard: Other",50,"Wood, pulp & paper",,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
4911.91.00,"Other printed matter, including printed pictures and photographs.","- Other: Pictures, designs and photographs","Other printed matter, including printed pictures and photographs. - Other: Pictures, designs and photographs",50,"Wood, pulp & paper",,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
5701.10.10,"Carpets and other textile floor coverings, knotted, whether or not made up.",- Of wool or fine animal hair: Machine knotted,"Carpets and other textile floor coverings, knotted, whether or not made up. - Of wool or fine animal hair: Machine knotted",25,Textiles,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
5701.10.90,"Carpets and other textile floor coverings, knotted, whether or not made up.",- Of wool or fine animal hair: Other,"Carpets and other textile floor coverings, knotted, whether or not made up. - Of wool or fine animal hair: Other",25,Textiles,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
5701.90.10,"Carpets and other textile floor coverings, knotted, whether or not made up.",- Of other textile materials: Machine knotted,"Carpets and other textile floor coverings, knotted, whether or not made up. - Of other textile materials: Machine knotted",25,Textiles,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
5701.90.90,"Carpets and other textile floor coverings, knotted, whether or not made up.",- Of other textile materials: Other,"Carpets and other textile floor coverings, knotted, whether or not made up. - Of other textile materials: Other",25,Textiles,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
5702.10.00,"Carpets and other textile floor coverings, woven, not tufted or flocked, whether or not made up, including ""Kelem"", ""Schumacks"", ""Karamanie"" and similar hand-woven rugs.","- ""Kelem"", ""Schumacks"", ""Karamanie"" and similar hand-woven rugs","Carpets and other textile floor coverings, woven, not tufted or flocked, whether or not made up, including ""Kelem"", ""Schumacks"", ""Karamanie"" and similar hand-woven rugs. - ""Kelem"", ""Schumacks"", ""Karamanie"" and similar hand-woven rugs",25,Textiles,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
5702.20.00,"Carpets and other textile floor coverings, woven, not tufted or flocked, whether or not made up, including ""Kelem"", ""Schumacks"", ""Karamanie"" and similar hand-woven rugs.",- Floor coverings of coconut fibres (coir),"Carpets and other textile floor coverings, woven, not tufted or flocked, whether or not made up, including ""Kelem"", ""Schumacks"", ""Karamanie"" and similar hand-woven rugs. - Floor coverings of coconut fibres (coir)",25,Textiles,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
5702.31.00,"Carpets and other textile floor coverings, woven, not tufted or flocked, whether or not made up, including ""Kelem"", ""Schumacks"", ""Karamanie"" and similar hand-woven rugs.","- Other, of pile construction, not made up: Of wool or fine animal hair","Carpets and other textile floor coverings, woven, not tufted or flocked, whether or not made up, including ""Kelem"", ""Schumacks"", ""Karamanie"" and similar hand-woven rugs. - Other, of pile construction, not made up: Of wool or fine animal hair",25,Textiles,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
5702.32.00,"Carpets and other textile floor coverings, woven, not tufted or flocked, whether or not made up, including ""Kelem"", ""Schumacks"", ""Karamanie"" and similar hand-woven rugs.","- Other, of pile construction, not made up: Of man-made textile materials","Carpets and other textile floor coverings, woven, not tufted or flocked, whether or not made up, including ""Kelem"", ""Schumacks"", ""Karamanie"" and similar hand-woven rugs. - Other, of pile construction, not made up: Of man-made textile materials",25,Textiles,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
5702.39.00,"Carpets and other textile floor coverings, woven, not tufted or flocked, whether or not made up, including ""Kelem"", ""Schumacks"", ""Karamanie"" and similar hand-woven rugs.","- Other, of pile construction, not made up: Of other textile materials","Carpets and other textile floor coverings, woven, not tufted or flocked, whether or not made up, including ""Kelem"", ""Schumacks"", ""Karamanie"" and similar hand-woven rugs. - Other, of pile construction, not made up: Of other textile materials",25,Textiles,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
5702.41.00,"Carpets and other textile floor coverings, woven, not tufted or flocked, whether or not made up, including ""Kelem"", ""Schumacks"", ""Karamanie"" and similar hand-woven rugs.","- Other, of pile construction, made up: Of wool or fine animal hair","Carpets and other textile floor coverings, woven, not tufted or flocked, whether or not made up, including ""Kelem"", ""Schumacks"", ""Karamanie"" and similar hand-woven rugs. - Other, of pile construction, made up: Of wool or fine animal hair",25,Textiles,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
5702.42.00,"Carpets and other textile floor coverings, woven, not tufted or flocked, whether or not made up, including ""Kelem"", ""Schumacks"", ""Karamanie"" and similar hand-woven rugs.","- Other, of pile construction, made up: Of man-made textile materials","Carpets and other textile floor coverings, woven, not tufted or flocked, whether or not made up, including ""Kelem"", ""Schumacks"", ""Karamanie"" and similar hand-woven rugs. - Other, of pile construction, made up: Of man-made textile materials",25,Textiles,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
5702.49.00,"Carpets and other textile floor coverings, woven, not tufted or flocked, whether or not made up, including ""Kelem"", ""Schumacks"", ""Karamanie"" and similar hand-woven rugs.","- Other, of pile construction, made up: Of other textile materials","Carpets and other textile floor coverings, woven, not tufted or flocked, whether or not made up, including ""Kelem"", ""Schumacks"", ""Karamanie"" and similar hand-woven rugs. - Other, of pile construction, made up: Of other textile materials",25,Textiles,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
5702.50.10,"Carpets and other textile floor coverings, woven, not tufted or flocked, whether or not made up, including ""Kelem"", ""Schumacks"", ""Karamanie"" and similar hand-woven rugs.","- Other, not of pile construction, not made up: Of straw, hemp, flax tow or jute","Carpets and other textile floor coverings, woven, not tufted or flocked, whether or not made up, including ""Kelem"", ""Schumacks"", ""Karamanie"" and similar hand-woven rugs. - Other, not of pile construction, not made up: Of straw, hemp, flax tow or jute",25,Textiles,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
5702.50.90,"Carpets and other textile floor coverings, woven, not tufted or flocked, whether or not made up, including ""Kelem"", ""Schumacks"", ""Karamanie"" and similar hand-woven rugs.","- Other, not of pile construction, not made up: Other","Carpets and other textile floor coverings, woven, not tufted or flocked, whether or not made up, including ""Kelem"", ""Schumacks"", ""Karamanie"" and similar hand-woven rugs. - Other, not of pile construction, not made up: Other",25,Textiles,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
5702.91.00,"Carpets and other textile floor coverings, woven, not tufted or flocked, whether or not made up, including ""Kelem"", ""Schumacks"", ""Karamanie"" and similar hand-woven rugs.","- Other, not of pile construction, made up: Of wool or fine animal hair","Carpets and other textile floor coverings, woven, not tufted or flocked, whether or not made up, including ""Kelem"", ""Schumacks"", ""Karamanie"" and similar hand-woven rugs. - Other, not of pile construction, made up: Of wool or fine animal hair",25,Textiles,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
5702.92.00,"Carpets and other textile floor coverings, woven, not tufted or flocked, whether or not made up, including ""Kelem"", ""Schumacks"", ""Karamanie"" and similar hand-woven rugs.","- Other, not of pile construction, made up: Of man-made textile materials","Carpets and other textile floor coverings, woven, not tufted or flocked, whether or not made up, including ""Kelem"", ""Schumacks"", ""Karamanie"" and similar hand-woven rugs. - Other, not of pile construction, made up: Of man-made textile materials",25,Textiles,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
5702.99.10,"Carpets and other textile floor coverings, woven, not tufted or flocked, whether or not made up, including ""Kelem"", ""Schumacks"", ""Karamanie"" and similar hand-woven rugs.","- Other, not of pile construction, made up: Of other textile materials: Of straw, hemp, flax tow or jute","Carpets and other textile floor coverings, woven, not tufted or flocked, whether or not made up, including ""Kelem"", ""Schumacks"", ""Karamanie"" and similar hand-woven rugs. - Other, not of pile construction, made up: Of other textile materials: Of straw, hemp, flax tow or jute",25,Textiles,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
5702.99.90,"Carpets and other textile floor coverings, woven, not tufted or flocked, whether or not made up, including ""Kelem"", ""Schumacks"", ""Karamanie"" and similar hand-woven rugs.","- Other, not of pile construction, made up: Of other textile materials: Other","Carpets and other textile floor coverings, woven, not tufted or flocked, whether or not made up, including ""Kelem"", ""Schumacks"", ""Karamanie"" and similar hand-woven rugs. - Other, not of pile construction, made up: Of other textile materials: Other",25,Textiles,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
5703.10.10,"Carpets and other textile floor coverings (including turf), tufted, whether or not made up.",- Of wool or fine animal hair: Machine tufted,"Carpets and other textile floor coverings (including turf), tufted, whether or not made up. - Of wool or fine animal hair: Machine tufted",25,Textiles,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
5703.10.90,"Carpets and other textile floor coverings (including turf), tufted, whether or not made up.",- Of wool or fine animal hair: Other,"Carpets and other textile floor coverings (including turf), tufted, whether or not made up. - Of wool or fine animal hair: Other",25,Textiles,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
5703.21.00,"Carpets and other textile floor coverings (including turf), tufted, whether or not made up.",- Of nylon or other polyamides: Turf,"Carpets and other textile floor coverings (including turf), tufted, whether or not made up. - Of nylon or other polyamides: Turf",25,Textiles,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
5703.29.10,"Carpets and other textile floor coverings (including turf), tufted, whether or not made up.",- Of nylon or other polyamides: Other: Machine tufted,"Carpets and other textile floor coverings (including turf), tufted, whether or not made up. - Of nylon or other polyamides: Other: Machine tufted",25,Textiles,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
5703.29.90,"Carpets and other textile floor coverings (including turf), tufted, whether or not made up.",- Of nylon or other polyamides: Other: Other,"Carpets and other textile floor coverings (including turf), tufted, whether or not made up. - Of nylon or other polyamides: Other: Other",25,Textiles,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
5703.31.00,"Carpets and other textile floor coverings (including turf), tufted, whether or not made up.",- Of other man-made textile materials: Turf,"Carpets and other textile floor coverings (including turf), tufted, whether or not made up. - Of other man-made textile materials: Turf",25,Textiles,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
5703.39.10,"Carpets and other textile floor coverings (including turf), tufted, whether or not made up.",- Of other man-made textile materials: Other: Machine tufted,"Carpets and other textile floor coverings (including turf), tufted, whether or not made up. - Of other man-made textile materials: Other: Machine tufted",50,Textiles,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
5703.39.90,"Carpets and other textile floor coverings (including turf), tufted, whether or not made up.",- Of other man-made textile materials: Other: Other,"Carpets and other textile floor coverings (including turf), tufted, whether or not made up. - Of other man-made textile materials: Other: Other",50,Textiles,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
5703.90.10,"Carpets and other textile floor coverings (including turf), tufted, whether or not made up.",- Of other textile materials: Machine tufted,"Carpets and other textile floor coverings (including turf), tufted, whether or not made up. - Of other textile materials: Machine tufted",25,Textiles,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
5703.90.90,"Carpets and other textile floor coverings (including turf), tufted, whether or not made up.",- Of other textile materials: Other,"Carpets and other textile floor coverings (including turf), tufted, whether or not made up. - Of other textile materials: Other",25,Textiles,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
5704.10.00,"Carpets and other textile floor coverings, of felt, not tufted or flocked, whether or not made up.","- Tiles, having a maximum surface area of 0.3 m²","Carpets and other textile floor coverings, of felt, not tufted or flocked, whether or not made up. - Tiles, having a maximum surface area of 0.3 m²",25,Textiles,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
5704.20.00,"Carpets and other textile floor coverings, of felt, not tufted or flocked, whether or not made up.","- Tiles, having a maximum surface area exceeding 0.3 m² but not exceeding 1 m²","Carpets and other textile floor coverings, of felt, not tufted or flocked, whether or not made up. - Tiles, having a maximum surface area exceeding 0.3 m² but not exceeding 1 m²",25,Textiles,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
5704.90.00,"Carpets and other textile floor coverings, of felt, not tufted or flocked, whether or not made up.",- Other,"Carpets and other textile floor coverings, of felt, not tufted or flocked, whether or not made up. - Other",25,Textiles,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
5705.00.00,"Other carpets and other textile floor coverings, whether or not made up.",,"Other carpets and other textile floor coverings, whether or not made up.",25,Textiles,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
6104.43.00,"Women's or girls' suits, ensembles, jackets and blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted.",- Dresses: Of synthetic fibres,"Women's or girls' suits, ensembles, jackets and blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted. - Dresses: Of synthetic fibres",50,Clothing & apparel,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
6104.63.00,"Women's or girls' suits, ensembles, jackets and blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted.","- Trousers, bib and brace overalls, breeches and shorts: Of synthetic fibres","Women's or girls' suits, ensembles, jackets and blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted. - Trousers, bib and brace overalls, breeches and shorts: Of synthetic fibres",50,Clothing & apparel,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
6109.10.00,"T-shirts, singlets and other vests, knitted or crocheted.",- Of cotton,"T-shirts, singlets and other vests, knitted or crocheted. - Of cotton",50,Clothing & apparel,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
6110.20.00,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted.",- Of cotton,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted. - Of cotton",50,Clothing & apparel,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
6110.30.00,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted.",- Of man-made fibres,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted. - Of man-made fibres",50,Clothing & apparel,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
6116.93.00,"Gloves, mittens and mitts, knitted or crocheted.",- Other: Of synthetic fibres,"Gloves, mittens and mitts, knitted or crocheted. - Other: Of synthetic fibres",50,Clothing & apparel,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
6201.40.10,"Men's or boys' overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, other than those of heading 62.03.","- Of man-made fibres: Overcoats, raincoats, car-coats, capes, cloaks and similar articles","Men's or boys' overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, other than those of heading 62.03. - Of man-made fibres: Overcoats, raincoats, car-coats, capes, cloaks and similar articles",50,Clothing & apparel,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
6201.40.90,"Men's or boys' overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, other than those of heading 62.03.",- Of man-made fibres: Other,"Men's or boys' overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, other than those of heading 62.03. - Of man-made fibres: Other",50,Clothing & apparel,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
6202.40.00,"Women's or girls' overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, other than those of heading 62.04.",- Of man-made fibres,"Women's or girls' overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, other than those of heading 62.04. - Of man-made fibres",50,Clothing & apparel,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
6203.11.00,"Men's or boys' suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear).",- Suits: Of wool or fine animal hair,"Men's or boys' suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - Suits: Of wool or fine animal hair",50,Clothing & apparel,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
6203.31.00,"Men's or boys' suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear).",- Jackets and blazers: Of wool or fine animal hair,"Men's or boys' suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - Jackets and blazers: Of wool or fine animal hair",50,Clothing & apparel,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
6203.41.00,"Men's or boys' suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear).","- Trousers, bib and brace overalls, breeches and shorts: Of wool or fine animal hair","Men's or boys' suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - Trousers, bib and brace overalls, breeches and shorts: Of wool or fine animal hair",50,Clothing & apparel,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
6204.43.00,"Women's or girls' suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear).",- Dresses: Of synthetic fibres,"Women's or girls' suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - Dresses: Of synthetic fibres",50,Clothing & apparel,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
6204.49.00,"Women's or girls' suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear).",- Dresses: Of other textile materials,"Women's or girls' suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - Dresses: Of other textile materials",50,Clothing & apparel,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
6210.20.10,"Garments, made up of fabrics of heading 56.02, 56.03, 59.03, 59.06 or 59.07.","- Other garments, of the type described in heading 62.01: Protective suits, to be employed in a noxious atmosphere","Garments, made up of fabrics of heading 56.02, 56.03, 59.03, 59.06 or 59.07. - Other garments, of the type described in heading 62.01: Protective suits, to be employed in a noxious atmosphere",50,Clothing & apparel,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
6210.20.90,"Garments, made up of fabrics of heading 56.02, 56.03, 59.03, 59.06 or 59.07.","- Other garments, of the type described in heading 62.01: Other","Garments, made up of fabrics of heading 56.02, 56.03, 59.03, 59.06 or 59.07. - Other garments, of the type described in heading 62.01: Other",50,Clothing & apparel,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
6210.40.10,"Garments, made up of fabrics of heading 56.02, 56.03, 59.03, 59.06 or 59.07.","- Other men's or boys' garments: Protective suits, to be employed in a noxious atmosphere","Garments, made up of fabrics of heading 56.02, 56.03, 59.03, 59.06 or 59.07. - Other men's or boys' garments: Protective suits, to be employed in a noxious atmosphere",50,Clothing & apparel,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
6210.40.90,"Garments, made up of fabrics of heading 56.02, 56.03, 59.03, 59.06 or 59.07.",- Other men's or boys' garments: Other,"Garments, made up of fabrics of heading 56.02, 56.03, 59.03, 59.06 or 59.07. - Other men's or boys' garments: Other",50,Clothing & apparel,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
6210.50.10,"Garments, made up of fabrics of heading 56.02, 56.03, 59.03, 59.06 or 59.07.","- Other women's or girls' garments: Protective suits, to be employed in a noxious atmosphere","Garments, made up of fabrics of heading 56.02, 56.03, 59.03, 59.06 or 59.07. - Other women's or girls' garments: Protective suits, to be employed in a noxious atmosphere",50,Clothing & apparel,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
6210.50.90,"Garments, made up of fabrics of heading 56.02, 56.03, 59.03, 59.06 or 59.07.",- Other women's or girls' garments: Other,"Garments, made up of fabrics of heading 56.02, 56.03, 59.03, 59.06 or 59.07. - Other women's or girls' garments: Other",50,Clothing & apparel,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
6211.32.00,"Track suits, ski suits and swimwear; other garments.","- Other garments, men's or boys': Of cotton","Track suits, ski suits and swimwear; other garments. - Other garments, men's or boys': Of cotton",50,Clothing & apparel,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
